resource_site_id,city_id,resource_type,resource_name,resource_description,is_operational
1,2,Medical Salvage,Pine Hollow Medical Salvage,"Old pharmacy, should be something useful in here.",1
2,4,Military Salvage,Maple Run Military Salvage,An abandonned guard station.,1
3,4,Metal Salvage,Cedar Crossing Metal Salvage,"Scrap yard, looks picked clean.",0
4,3,Hunting Spot,Shadwell Yard Hunting Spot,"Might see some game, but probably not.",0
5,5,Foraging Spot,Mossfield Bend Foraging Spot,Mushrooms and wild fruits abound.,1
6,2,Metal Salvage,Old Quarry Lot Metal Salvage,The old quarry equipment is a good source of scrap metal.,1
7,7,Construction Salvage,Kingfisher Point Construction Salvage,"Used to be a lumbermill, pretty empty now.",0
8,6,Foraging Spot,Driftwood Acres Foraging Spot,"Old apple orchard, still growing.",1
9,6,Hunting Spot,Latchkey Marsh Hunting Spot,Deer frequent this area.,1
10,5,Fishing Spot,Sandy Brook Cut Fishing Spot,"""Secret"" fishing spot.",0
11,1,Hunting Spot,Pilgrim Reach Hunting Spot,Since the settlers first came here people have been hunting in this land.,1
12,4,Construction Salvage,Herring Gate Construction Salvage,An abandonned construction site.,0
13,3,Military Salvage,Crossmill Patch Military Salvage,The army surplus store.,0
14,1,Hunting Spot,Blackwater Flats Hunting Spot,Small game is plentiful in this area.,1
15,3,Foraging Spot,Sunken Meadow Foraging Spot,Wildflowers and herbs are common here.,1
16,4,Foraging Spot,Millstone Rise Foraging Spot,The old mill has wild wheat growing around it.,1
17,1,Hunting Spot,Fox Den Ridge Hunting Spot,Fur trappers used to set up here.,0
18,5,Foraging Spot,Blue Heron Plain Foraging Spot,Edible cattails and wild rice can be found here.,1
19,5,Military Salvage,Old County Spur Military Salvage,The old army base.,1
20,6,Metal Salvage,Turnleaf Swale Metal Salvage,"Scrapyard, looks promising.",1
